id,quest_component_id,speech,npc_id,next_bubble,is_start,sound_id,npc_spawner_id,angle,chat_bubble_kind_id,facial,npc_group_id,camera_id,change_speaker_name
32,58,"/결론 어, 어쩌지... 도적단 녀석들 계획서에, 계획서에! ""폭력배와 칼잡이, 싸움꾼과 마법사가 야영지로 침입한다."" 라고 쓰여 있어요!",679,9799,t,,0,0,1,npc_sad,,,
58,27,/결론 @NPC_NAME(656)! 괜찮아? 정신 차려봐!,673,7702,t,,0,130,1,npc_sad,,,
60,112,/결론 조사원만 빨리 돌아왔어도 이렇게 수세에 몰리진 않았을 텐데.,679,10010,t,,0,0,1,npc_sad,,,
158,383,/대화 그나저나 잡화점 옆 빈터와 마을 남쪽 입구에 있는 |nn;@NPC_NAME(3475)|r들이 날뛴다네. 나무를 베어서 숲의 정령들이 분노하기라도 했는지...,3512,7486,t,,0,0,1,npc_sad,,,
172,617,/말 어라? 이 물건은?,5848,9935,t,,0,0,1,npc_angry,,,
177,619,"/대화 성공한다면 대가는 후하게 쳐주지. 어때, 귀가 솔깃하지?",5848,0,f,,0,0,1,npc_question,,,
187,691,"/기침 콜록콜록! |nn;@NPC_NAME(3516)|r|1을;를; 찾으러 가야 하는데, 서 있는 것도 힘드네요... 약을 먹고 몸이 좋아지길 기다리면 너무 늦을 텐데.",3515,188,t,,0,0,1,npc_sad,,,
188,691,/긁적 푸른 안개 숲으로 아빠를 마중하러 간다고 했는데 아직도 소식이 없어요.  ,3515,5137,f,,0,0,1,npc_sad,,,
364,23,"/긁기 저, 혹여 황금 실타래 마을로 가주실 수 있겠습니까? 저희는 일정이 지체되어 곧장 하얀 숲으로 가야 하거든요.",444,11885,t,,,,1,npc_question,,,
398,917,/변명 보시다시피 @NPC_GROUP_NAME(62)들도 농사를 망치는데 한몫하고 있다오. /긁적 보이는 대로 때려잡고 있지만 땅속에 숨은 녀석들을 다 잡긴 힘들구려.,3526,7843,t,,0,0,1,npc_sad,,,
413,185,/주장 바위를 되살리는 게 검은수염 도적단이래요! 마법사가 지팡이를 한 번 휘두르기만 하면 돌들이 그 말에 죄다 복종한다는군요.,700,415,t,,0,0,1,npc_question,,,
415,185,/거만 일하기 싫으니 거짓말만 하는군! 지노르!,699,9885,f,,0,82,1,npc_angry,,,
422,1023,"/변명 트럼프|1이;가; 미로의 시험을 받겠다고 떠나버린 후, 그에게 받았던 반지를 이 호수에 던져버렸어요. 나도 참 철이 없었죠.",3527,5170,t,,0,0,1,npc_sad,,,
423,1030,"/애원 고마워요. 비록 미로의 시험을 통과한 왕도 아니고, 이건 그냥 구리 반지지만 전 이 허풍쟁이와 결혼하는 게 행복하답니다.",3527,14655,t,,0,0,1,npc_smile,,,
455,190,"/팔짱 그래도 뭔가 의심쩍은 것이 있다는 눈치인데, 자네? 설마 하찮은 도적단이 골렘을 조종하는 고급 마법을 사용할까?",715,9895,t,,0,0,1,npc_question,,,
600,310,"/사실 몸에 증거 보존 마법을 걸어줄 테니, 호숫가 마을에 있는 |nn;@NPC_NAME(582)|r|1을;를; 만나거라.",569,0,f,,,0,1,npc_question,,,
602,310,/결론 혐의에 관한 조사부터 받는 편이 좋겠구나. 네 결백을 증명하려면.,569,600,t,,,0,1,npc_sad,,,
609,703,/긁적 사실 광부의 시체가 발견된 건 처음이 아닙니다.,730,10975,t,,0,0,1,npc_sad,,,
631,705,/슬픔 집에 아직 안 가요. 나 아빠 기다릴 거야. 아빠가 |nn;@NPC_NAME(7651)|r 아저씨랑 같이 여기에 오기로 했단 말이야. 아빠 보고 싶은데...,3516,,t,,0,0,1,npc_sad,,,
717,154,"/변명 저 거석들은 그냥 단순한 돌들이 아니네요. 믿으실진 모르지만, 저 돌들은 벌판에 남겨진 거인들의 유해랍니다. 네, 아까 말한 거인들이요.",740,718,f,,0,0,1,npc_question,,,
718,154,"/묵념 이유는 알 수 없지만, 거인들은 무언가를 찾아내려는 듯이 찾아와 바다를 향해 가다가... 그대로 이곳에서 죽는답니다. 신비한 존재인 그들의 죽음은 반드시 그대로 지켜야 할, 숭고한 것이에요. 그러니 힘을 보태주세요.",740,0,f,,0,0,1,npc_sad,,,
719,154,/말 알려드릴 것이 있어요. 얼마 전부터 돌의 형제회라 불리는 자들이 여기 왔어요.,740,10277,t,,0,0,1,npc_question,,,
907,1154,/명령 동생 @NPC_NAME(3536)|1이;가; 네손가락 도적단에 볼모로 잡혀갔어요. 동생의 약혼자 |nn;@NPC_NAME(3535)|r|1은;는; 동생을 구하겠다며 잊혀진 성으로 갔고요.,3534,4913,t,,0,0,1,npc_sad,,,
910,1159,"/변명 누, 누구시죠? @NPC_NAME(3536)이 날 안다고 말했다면 그건 거짓말입니다. 나는 그저 여길 둘러보고 있었어요.  해치지 말아주세요. 그냥 길을 잃었을 뿐이라고요.",3535,912,t,,0,0,1,npc_sad,,,
912,1159,"/호호 아, 이제보니 요즘 마을 일을 해결하던 그분이군요. 난 당신이 네손가락 도적단인지 알고... 이렇게 말을 둘러대다가 방심한 틈을 노려서 혼내주려고 했죠. 하하하.",3535,12018,f,,0,0,1,npc_smile,,,
913,734,/대화 |nn;누잔|r 님에게 @ITEM_NAME(14517)을 보여 드려야 하는데...,565,9143,t,,514,0,1,npc_question,,,
1111,1192,"/박수 살아 돌아 오다니, 대단한 실력일세. 고맙네, 한동안 마을이 평화롭겠구먼.",3542,0,t,,0,0,1,npc_smile,,,
1112,1194,/사실 잊혀진 성에 있는 |nn;@NPC_NAME(3486)|r|1은;는; 네손가락 도적단을 배후에서 조정하는 실질적인 우두머리일세.,3542,1113,t,,0,0,1,npc_sad,,,
1113,1194,"/변명 네손가락 도적단의 우두머리는 네손가락 펜인데, 녀석은 원래 우리 마을 출신이라네. /대화 손가락이 네 개뿐이라 여러 면에서 고생을 좀 했지.",3542,1114,f,,0,0,1,npc_sad,,,
1114,1194,/명령 그 아이 마음에 그 때 무엇이 생겼는지 알 수 없네... 중요한 건 그때 만크스라는 녀석이 펜에게 접근하더니 도적단을 만들었네.,3542,10851,f,,0,0,1,npc_sad,,,
1115,1194,"/대화 만크스는 다친 상태에서도 웃는 놈이라 @NPC_NAME(3486)라고 불리는 /결론  녀석인데, 놈이 사라진다면 펜도 도적질을 그만둘걸세.",3542,0,f,,0,0,1,npc_sad,,,
1120,1196,/감사 자네같은 은인이 나타나다니... 정말 고맙네. 자네가 아니었더라면 정말 큰일날 뻔했네.,3542,0,t,,0,0,1,npc_smile,0,,
1270,1344,/변명 이제 나갈 수 있게 되었군요. 아! 오래 앉아 있었더니 다리가 저려서 못 일어나겠네요.,439,11515,t,,0,0,1,npc_smile,,,
1274,239,/박수 좋았어요. 배신자들에게는 뜨거운 맛을 보여줘야 해요.,9993,0,t,,0,0,1,npc_smile,,,
1281,1003,/감사 정말 감사합니다. 이제야 마음 놓고 농사를 지을 수 있겠어요.,3526,0,t,,0,0,1,npc_smile,0,,
1387,138,"/놀람 민병대가 재건된다는 소문은 들었지만, 그래도 달라질 건 없어요. 저는 도적단에 너무 깊숙이 개입되었어요.",804,10597,t,,0,0,1,npc_sad,,,
1390,638,"/받기 이게 다 뭔가? 이야, 이제는 마을을 떠나서도 살아남을 수 있는 실력을 갖추었군! 덕분에 마을 농작물을 조금이나마 건질 수 있었어.",3512,10446,t,,0,0,1,npc_question,,,
1408,1363,/주기 여기 이 약을 |nn;@NPC_NAME(3515)|r에게 가져다주시면 돼요.,3596,5135,t,,0,0,1,npc_sad,,,
1455,164,/질문 그런데 가져온 것 중에 다른 게 섞여 있군요! 검은수염 도적단 녀석들 것일까요?,679,9793,t,,0,0,1,npc_question,,,
1457,1524,/주저 아무래도 누가 골렘을 만들었는지 알아내려면 도움이 필요할 듯합니다.,730,10028,t,,0,0,1,npc_question,,,
1520,1525,/받기 제가 알기엔 이건 검은수염 도적단의 마법사들이 쓰던 부적입니다!,5850,10038,t,,0,0,1,npc_question,,,
1555,624,/주기 아! 혹시 칼바람 평원 남부로 내려가는 길이라면 제 문서들을 드워프 사자인 |nn;@NPC_NAME(809)|r에게 전해주겠어요? 저는 @NPC_NAME(679) 님이 기다리시니 돌아가 봐야 해요.,5849,9988,t,,0,0,1,npc_question,,,
1608,1375,"아아, 아핀디엘...",674,10852,t,,0,314,1,npc_sad,,,
1715,959,/사실 소용돌이 지대가 돌풍으로 초토화가 되고 있습니다. 당신이 발견한 것 역시 그 증거지요. 큰일입니다...,593,9618,t,,0,0,1,npc_sad,,,
1742,1527,/한숨 이제 이 마을은 끝이에요. 민병대는 와해하고 지원 병사는 안 오고...,764,10613,t,,5741,0,1,npc_sad,,,
1818,826,@NPC_NAME(525)들이 계속 생겨나 주변을 초토화하고 있습니다. 이들에게 안식을 주십시오. - 기억술사 리미온 -,,,t,,,0,3,npc_sad,,,
1841,1071,"/슬픔 이오니온... 독사 따위를 밟고 죽다니, 어떻게 그럴 수 있어!",619,11892,f,,5097,0,1,npc_sad,,,
