id,anim_id,me,me_target,other,other_target,other_me,npc_anim_id
1,63,당신은 고마워합니다.,당신은 @TARGET_NAME(0)에게 고마움을 표시합니다.,@SOURCE_NAME(0)|1이;가; 고마움을 표시합니다.,@SOURCE_NAME(0)|1이;가; @TARGET_NAME(0)에게 고마움을 표시합니다.,@SOURCE_NAME(0)|1이;가; 당신에게 고마움을 표시합니다.,309
2,65,당신은 기뻐합니다.,당신은 @TARGET_NAME(0)에게 기쁨을 표현합니다.,@SOURCE_NAME(0)|1이;가; 기뻐합니다.,@SOURCE_NAME(0)|1이;가; @TARGET_NAME(0)에게 기쁨을 표현합니다.,@SOURCE_NAME(0)|1이;가; 당신에게 기쁨을 표현합니다.,311
3,66,당신은 슬퍼합니다.,당신은 @TARGET_NAME(0)에게 슬픔을 표현합니다.,@SOURCE_NAME(0)|1이;가; 슬퍼합니다.,@SOURCE_NAME(0)|1이;가; @TARGET_NAME(0)에게 슬픔을 표현합니다.,@SOURCE_NAME(0)|1이;가; 당신에게 슬픔을 표현합니다.,66
4,67,당신은 매우 놀라합니다.,당신은 @TARGET_NAME(0)에게 놀라합니다.,@SOURCE_NAME(0)|1이;가; 매우 놀라합니다.,@SOURCE_NAME(0)|1이;가; @TARGET_NAME(0)에게 놀라합니다.,@SOURCE_NAME(0)|1이;가; 당신에게 놀라합니다.,67
5,68,당신은 쓸쓸해합니다.,당신은 @TARGET_NAME(0)에게 쓸쓸함을 표현합니다.,@SOURCE_NAME(0)|1이;가; 쓸쓸해합니다.,@SOURCE_NAME(0)|1이;가; @TARGET_NAME(0)에게 쓸쓸함을 표현합니다.,@SOURCE_NAME(0)|1이;가; 당신에게 쓸쓸함을 표현합니다.,68
6,69,당신은 지루해합니다.,당신은 @TARGET_NAME(0)에게 지루함을 표현합니다.,@SOURCE_NAME(0)|1이;가; 지루해합니다.,@SOURCE_NAME(0)|1이;가; @TARGET_NAME(0)에게 지루함을 표현합니다.,@SOURCE_NAME(0)|1이;가; 당신에게 지루함을 표현합니다.,69
7,70,당신은 궁금해합니다.,당신은 @TARGET_NAME(0)에게 궁금해합니다.,@SOURCE_NAME(0)|1이;가; 궁금해합니다.,@SOURCE_NAME(0)|1이;가; @TARGET_NAME(0)에게 궁금해합니다.,@SOURCE_NAME(0)|1이;가; 당신에게 궁금해합니다.,315
8,71,당신은 화를 냅니다.,당신은 @TARGET_NAME(0)에게 화를 냅니다.,@SOURCE_NAME(0)|1이;가; 화를 냅니다.,@SOURCE_NAME(0)|1이;가; @TARGET_NAME(0)에게 화를 냅니다.,@SOURCE_NAME(0)|1이;가; 당신에게 화를 냅니다.,327
9,72,당신은 애원합니다.,당신은 @TARGET_NAME(0)에게 애원합니다.,@SOURCE_NAME(0)|1이;가; 애원합니다.,@SOURCE_NAME(0)|1이;가; @TARGET_NAME(0)에게 애원합니다.,@SOURCE_NAME(0)|1이;가; 당신에게 애원합니다.,72
10,73,당신은 박수칩니다.,당신은 @TARGET_NAME(0)에게 박수칩니다.,@SOURCE_NAME(0)|1이;가; 박수칩니다.,@SOURCE_NAME(0)|1이;가; @TARGET_NAME(0)에게 박수칩니다.,@SOURCE_NAME(0)|1이;가; 당신에게 박수칩니다.,308
11,74,당신은 경의를 표합니다.,당신은 @TARGET_NAME(0)에게 경의를 표합니다.,@SOURCE_NAME(0)|1이;가; 경의를 표합니다.,@SOURCE_NAME(0)|1이;가; @TARGET_NAME(0)에게 경의를 표합니다.,@SOURCE_NAME(0)|1이;가; 당신에게 경의를 표합니다.,74
12,75,당신은 인사합니다.,당신은 @TARGET_NAME(0)에게 인사합니다.,@SOURCE_NAME(0)|1이;가; 인사합니다.,@SOURCE_NAME(0)|1이;가; @TARGET_NAME(0)에게 인사합니다.,@SOURCE_NAME(0)|1이;가; 당신에게 인사합니다.,75
13,76,당신은 환하게 웃습니다.,당신은 @TARGET_NAME(0)에게 환하게 웃습니다.,@SOURCE_NAME(0)|1이;가; 환하게 웃습니다.,@SOURCE_NAME(0)|1이;가; @TARGET_NAME(0)에게 환하게 웃습니다.,@SOURCE_NAME(0)|1이;가; 당신에게 환하게 웃습니다.,76
14,77,당신은 두려워 합니다.,당신은 @TARGET_NAME(0)에게 두려움을 표현합니다.,@SOURCE_NAME(0)|1이;가; 두려워 합니다.,@SOURCE_NAME(0)|1이;가; @TARGET_NAME(0)에게 두려움을 표현합니다.,@SOURCE_NAME(0)|1이;가; 당신에게 두려움을 표현합니다.,77
15,79,당신은 손사래를 칩니다.,당신은 @TARGET_NAME(0)에게 손사래를 칩니다.,@SOURCE_NAME(0)|1이;가; 손사래를 칩니다.,@SOURCE_NAME(0)|1이;가; @TARGET_NAME(0)에게 손사래를 칩니다.,@SOURCE_NAME(0)|1이;가; 당신에게 손사래를 칩니다.,326
16,80,당신은 방향을 가리킵니다.,당신은 @TARGET_NAME(0)에게 방향을 가리킵니다.,@SOURCE_NAME(0)|1이;가; 방향을 가리킵니다.,@SOURCE_NAME(0)|1이;가; @TARGET_NAME(0)에게 방향을 가리킵니다.,@SOURCE_NAME(0)|1이;가; 당신에게 방향을 가리킵니다.,80
17,64,당신은 응원을 보냅니다.,당신은 @TARGET_NAME(0)에게 응원을 보냅니다.,@SOURCE_NAME(0)|1이;가; 응원을 보냅니다.,@SOURCE_NAME(0)|1이;가; @TARGET_NAME(0)에게 응원을 보냅니다.,@SOURCE_NAME(0)|1이;가; 당신에게 응원을 보냅니다.,311
18,81,당신은 도발합니다.,당신은 @TARGET_NAME(0)에게 도발합니다.,@SOURCE_NAME(0)|1이;가; 도발합니다.,@SOURCE_NAME(0)|1이;가; @TARGET_NAME(0)에게 도발합니다.,@SOURCE_NAME(0)|1이;가; 당신에게 도발합니다.,319
19,82,당신은 부끄러워 합니다.,당신은 @TARGET_NAME(0)에게 부끄러워 합니다.,@SOURCE_NAME(0)|1이;가; 부끄러워 합니다.,@SOURCE_NAME(0)|1이;가; @TARGET_NAME(0)에게 부끄러워 합니다.,@SOURCE_NAME(0)|1이;가; 당신에게 부끄러워 합니다.,317
20,124,당신은 공손히 절을 합니다.,당신은 @TARGET_NAME(0)에게 공손히 절을 합니다.,@SOURCE_NAME(0)|1이;가; 공손히 절을 합니다.,@SOURCE_NAME(0)|1이;가; @TARGET_NAME(0)에게 공손히 절을 합니다.,@SOURCE_NAME(0)|1이;가; 당신에게 공손히 절을 합니다.,124
21,210,당신은 조용하라 합니다.,당신은 @TARGET_NAME(0)에게 조용하라 합니다.,@SOURCE_NAME(0)|1이;가; 조용하라 합니다.,@SOURCE_NAME(0)|1이;가; @TARGET_NAME(0)에게 조용하라 합니다.,@SOURCE_NAME(0)|1이;가; 당신에게 조용하라 합니다.,210
22,121,당신은 무릎을 꿇습니다.,당신은 @TARGET_NAME(0)에게 무릎을 꿇습니다.,@SOURCE_NAME(0)|1이;가; 무릎을 꿇습니다.,@SOURCE_NAME(0)|1이;가; @TARGET_NAME(0)에게 무릎을 꿇습니다.,@SOURCE_NAME(0)|1이;가; 당신에게 무릎을 꿇습니다.,121
23,211,당신은 괴로워합니다.,당신은 @TARGET_NAME(0)에게 괴로워합니다.,@SOURCE_NAME(0)|1이;가; 괴로워합니다.,@SOURCE_NAME(0)|1이;가; @TARGET_NAME(0)에게 괴로워합니다.,@SOURCE_NAME(0)|1이;가; 당신에게 괴로워합니다.,211
24,258,당신은 위를 가리킵니다.,당신은 @TARGET_NAME(0)에게 위를 가리킵니다.,@SOURCE_NAME(0)|1이;가; 위를 가리킵니다.,@SOURCE_NAME(0)|1이;가; @TARGET_NAME(0)에게 위를 가리킵니다.,@SOURCE_NAME(0)|1이;가; 당신에게 위를 가리킵니다.,258
25,215,당신은 한숨을 쉽니다.,당신은 @TARGET_NAME(0)에게 한숨을 쉽니다.,@SOURCE_NAME(0)|1이;가; 한숨을 쉽니다.,@SOURCE_NAME(0)|1이;가; @TARGET_NAME(0)에게 한숨을 쉽니다.,@SOURCE_NAME(0)|1이;가; 당신에게 한숨을 쉽니다.,215
26,216,당신은 기지개를 킵니다.,당신은 @TARGET_NAME(0)에게 기지개를 킵니다.,@SOURCE_NAME(0)|1이;가; 기지개를 킵니다.,@SOURCE_NAME(0)|1이;가; @TARGET_NAME(0)에게 기지개를 킵니다.,@SOURCE_NAME(0)|1이;가; 당신에게 기지개를 킵니다.,216
