id,editor_name,name,quest_category_id
1,Gweonid_HarpaCamp,하르파 수련장,9
2,Gweonid_SiteOfMemory,기억의 터,9
3,gweonid_laketown,호숫가 마을,9
4,mari_westinn,마리아노플 서쪽 여관,10
5,mari_goldvill,황금 실타래 마을,10
6,mari_square,마리아노플,10
7,gp_bd_roystercamp,로이스터 야영지,2
8,gp_bd_sandywindvillage,모래 먼지 마을,2
9,gp_bd_roadsend,로즈엔드 초소,2
10,apen,가랑돌 평원 아펜디엘의 거처,2
11,mari_southinn,마리아노플 남쪽 여관,10
13,BirchVillage,자작나무 마을,6
14,WhiteGuardian,수호자의 부락,6
15,Baragi,바라기 마을,4
16,watcher,파수 마을,4
17,Crescent_Throne,초승달 왕좌,4
18,milkyriver,우윳빛강 마을,4
21,reindeerdwarf,순록드워프 야영지,20
22,Andelph,안델프,20
23,Goldeneaglepeakvil,검독수리마루 마을,20
26,CaerNord,카어 노르드,35
27,Rubyminevill,루비 광산촌,35
28,sing_soldier,징병소,16
29,sing_alcohol,술향기 마을,16
30,Liania,리아니아 근처,13
31,QuestYnis,이니스섬으로 포탈이동,4
32,mainQ_garangdol,"아탈란시아, 지금 만나러 갑니다",2
33,Protectorguardcamp,불탄성 감시 야영지,13
34,seachildharbor,시차일드 부두,13
36,maha_watchhouse,밀렵 감시 초소,17
37,maha_CityOfTower,탑의 도시,17
38,maha_explorer,여행자의 쉼터,17
39,sunrise_q762,천주머니를 주울 장소,14
41,mari_skilldown,수련의탑하층부,10
42,mari_skillup,수련의탑상층부,10
43,sunrise_tour,여행자의 샘,14
44,sunrise_ostera,오스테라,14
45,sunrise_sun,햇무리 마을,14
47,mari_prisonin,마리아노플 감옥내부,10
48,mari_prisonout,마리아노플 출소장소,10
50,tc_bd_ezna,이즈나,15
51,tc_bd_moonvillage,그믐녘 마을,15
52,tc_bd_arena,검투 경기장,15
53,gstar_defense,수로 탈출,1
54,gstar_offense,공성측다리에서이동,1
55,gstar_ddock,수성 항구,1
56,gstar_odock,공성 항구,1
57,gstar_dspawn,수성 시작,1
58,gstar_ospawn,공성 시작,1
60,birdtransform,새변신,4
61,lilyuthill_lumbermill,릴리엇 구릉지 제재소,24
63,tiger_q1106,나라야나 소풍나온 곳,21
65,tiger_iron,쇠모루 마을,21
66,tiger_eye,호랑이 눈,21
67,tiger_nara,할하파로 가는 길은 어디에,21
68,Andelp_jailmiddle,안델프_경비초소유치장안 ,20
69,Andelp_smallgolden,작은 금의 현인 볼프렐 앞,20
70,lilyuthill_windvillage,바람그늘 마을,24
71,Lilyuthill_Lonbancastle,바위언덕 마을,24
72,Gweonid_SilenceCamp,파수꾼 야영지,9
73,falconrock,큰 매바위로,22
74,windchaser,바람자취 부락,22
75,ashenmist,잿빛안개 부락,22
76,gaondal,가온달 부락,22
77,whitecloud,흰구름결 부락,22
78,oxyon,옥시언 상단,22
79,lilyuthill_brook,가리여울 마을,24
80,portal_birchvill,포탈 : 하얀 숲 자작나무 마을,6
81,portal_sandwindvill,포탈 : 가랑돌 평원 모래먼지 마을,2
82,garangdol_silententer,가랑돌 평원 침묵의 거상 입구,2
85,portal_whiteguard,포탈 : 하얀 숲 수호자의 부락,6
86,grave_wf_wfsouth,무덤 : 하얀 숲 - 하얀 숲 남부,6
87,grave_wf_guard,무덤 : 하얀 숲 - 수호자의 부락,6
88,grave_wf_birch,무덤 : 하얀 숲 - 자작나무 마을,6
89,grave_wf_cross,무덤 : 하얀 숲 - 분열된 십자로,6
90,grave_wf_farewell,무덤 : 하얀 숲 - 송별의 뜰,6
91,grave_tiger_1,불꽃 매 협곡 무덤,21
92,grave_tiger_iron,철광산 무덤,21
93,grave_tiger_spider,거미 숲 무덤,21
94,grave_tiger_nara,물 안개 숲 무덤,21
95,grave_tiger_yata,야타 방목장 무덤,21
96,grave_maha_watchhouse,마하데비 밀렵 감시 초소 옆 무덤,17
97,grave_maha_towercity,마하데비 탑의 도시 무덤,17
98,grave_maha_kilimantan,마하데비 킬리만탄 고무나무 조림지 근교 무덤,17
99,widowrapids,미망인의 여울목,6
100,grave_maha_secretport,마하데비 마하데비 항구 근교 무덤,17
101,gp_gv_entrance,가랑돌 평원 경계 / 로이스터 야영지 /무덤,2
102,Gwe_wind_G,그위오니드 바람의폐허 / 무덤,9
103,Gwe_Silence_G,그위오니드 침묵하는 숲 / 무덤,9
104,Gwe_bigtree_G,그위오니드 숲의인도자 / 무덤,9
105,Gwe_Laketown_G,그위오니드 호숫가마을 / 무덤,9
106,gp_gv_northcuttingwind,가랑돌 북부 칼바람 평원 / 무덤,2
107,Gwe_vines_G,그위오니드 가시덩굴 숲 / 무덤,9
109,grave_mari_golden,황금 실타래 벌판 무덤,10
110,grave_mari_farm,마리아노플 농장 무덤,10
111,grave_mari_osca,오스카 극단 무덤,10
112,grave_mari_city,도시 마리아노플 무덤,10
113,Gwe_Memory_G,그위오니드 기억의 터 / 무덤,9
115,mahadevi_deportation,마하데비 검문소,17
116,rnd,바슈디의 야영지 - 연구자,14
117,steamysauna,연기나는 해안,14
118,gv_solz_baragi,바라기 마을 무덤,4
119,gv_solz_bluemist,푸른안개 숲 무덤,4
120,gv_solz_sunkenbay,가라앉은만 무덤,4
121,gv_solz_watcher,파수 마을 무덤,4
122,gv_solz_crescent,초승달 왕좌 무덤,4
123,gv_solz_whitemoon,백월만 무덤,4
124,gv_solz_milkyvil,우윳빛강 마을 무덤,4
125,gv_solz_punish,일벌백계의 폐허 무덤,4
126,gv_falc_snowlion,눈사자 훈련소 무덤,22
127,gv_falc_borncliff,탄생의 절벽 무덤,22
128,gv_falc_hawkrock,큰매바위 무덤,22
129,gv_falc_ashenmist,잿빛안개 부락 무덤,22
130,gv_falc_oxyon,옥시언 상단 무덤,22
131,gv_falc_hawktalon,매발톱 기슭 무덤,22
133,gv_falc_whitecloud,흰구름결 부락 무덤,22
134,gv_falc_biamnest,바이암 소굴 무덤,22
135,animalrnd,고릴라 연구소,14
136,lilyuthill_windvillage_G,릴리엇 구릉지 바람그늘마을 / 무덤,24
137,Lilyuthill_Cracked Plains_G,릴리엇 구릉지 갈라진대지 / 무덤,24
138,lilyuthill_brook_G,릴리엇 구릉지 가리여울마을 / 무덤,24
139,lilyuthill_Troksk_G,릴리엇 구릉지 동론반광산 / 무덤,24
140,lilyuthill_Troksk_WG,릴리엇 구릉지 서론반광산 / 무덤,24
141,Gwe_Harpa_G,그위오니드 하르파야영지 / 무덤,9
142,grave_mari_other,마리아노플 타세력,10
145,grave_br_andelph,무덤 : 청동바위산 - 안델프,20
146,grave_mari_city_other,마리아노플 도시 타세력,10
150,sunrise_crossroad,동틀녘 반도 십자로,14
151,sunrise_rocky,동틀녘 반도 햇무리 언덕,14
152,sunrise_ostera_outside,동틀녘 반도 오스테라 외곽,14
153,grave_farm,마하데비 약초농장 무덤,17
155,grave_wf_ferry,무덤 : 하얀 숲 나루터,6
156,gv_solz_ynis,이니스 섬 부활,4
157,BareFeet,맨발고개 역,20
